Algorithm,Start Station,End Station,Time,Expanded Notes,Path,Distance
spfa,Bayswater,Parsons Green,0.0018801689147949219,434,Bayswater -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway -> Parsons Green,4.726724555169225 km
ucs,Bayswater,Parsons Green,0.0004756450653076172,57,Bayswater -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway -> Parsons Green,4.726724555169225 km
astar,Holland Park,South Kensington,0.00011157989501953125,5,Holland Park -> Notting Hill Gate -> High Street Kensington -> Gloucester Road -> South Kensington,3.2715100281856664 km
dijkstra,Holland Park,South Kensington,0.0002009868621826172,16,Holland Park -> Notting Hill Gate -> High Street Kensington -> Gloucester Road -> South Kensington,3.2715100281856664 km
bellman_ford,Holland Park,South Kensington,0.34317469596862793,552,Holland Park -> Notting Hill Gate -> High Street Kensington -> Gloucester Road -> South Kensington,3.2715100281856664 km
spfa,Holland Park,South Kensington,0.0021162033081054688,486,Holland Park -> Notting Hill Gate -> High Street Kensington -> Gloucester Road -> South Kensington,3.2715100281856664 km
ucs,Holland Park,South Kensington,0.00020265579223632812,25,Holland Park -> Notting Hill Gate -> High Street Kensington -> Gloucester Road -> South Kensington,3.2715100281856664 km
astar,Highgate,Lancaster Gate,0.00021076202392578125,13,Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Marble Arch -> Lancaster Gate,9.871163705711687 km
dijkstra,Highgate,Lancaster Gate,0.0005862712860107422,56,Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Marble Arch -> Lancaster Gate,9.871163705711687 km
bellman_ford,Highgate,Lancaster Gate,0.3480184078216553,576,Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Marble Arch -> Lancaster Gate,9.871163705711687 km
spfa,Highgate,Lancaster Gate,0.0017986297607421875,393,Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Marble Arch -> Lancaster Gate,9.871163705711687 km
ucs,Highgate,Lancaster Gate,0.0005807876586914062,74,Highgate -> Archway -> Tufnell Park -> Kentish Town -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Bond Street -> Marble Arch -> Lancaster Gate,9.871163705711687 km
astar,Barbican,Swiss Cottage,0.0002734661102294922,16,Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> St. John's Wood -> Swiss Cottage,7.492992374156065 km
dijkstra,Barbican,Swiss Cottage,0.0010442733764648438,108,Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> St. John's Wood -> Swiss Cottage,7.492992374156065 km
bellman_ford,Barbican,Swiss Cottage,0.34627556800842285,545,Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> St. John's Wood -> Swiss Cottage,7.492992374156065 km
spfa,Barbican,Swiss Cottage,0.0018038749694824219,405,Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> St. John's Wood -> Swiss Cottage,7.492992374156065 km
ucs,Barbican,Swiss Cottage,0.0010600090026855469,127,Barbican -> Farringdon -> King's Cross St. Pancras -> Euston Square -> Great Portland Street -> Baker Street -> St. John's Wood -> Swiss Cottage,7.492992374156065 km
astar,Blackwall,West Ham,0.00010132789611816406,4,Blackwall -> East India -> Canning Town -> West Ham,2.847250185113392 km
dijkstra,Blackwall,West Ham,0.00019669532775878906,15,Blackwall -> East India -> Canning Town -> West Ham,2.847250185113392 km
bellman_ford,Blackwall,West Ham,0.3446531295776367,594,Blackwall -> East India -> Canning Town -> West Ham,2.847250185113392 km
spfa,Blackwall,West Ham,0.0018413066864013672,422,Blackwall -> East India -> Canning Town -> West Ham,2.847250185113392 km
ucs,Blackwall,West Ham,0.00019741058349609375,22,Blackwall -> East India -> Canning Town -> West Ham,2.847250185113392 km
astar,Belsize Park,Regent's Park,0.0002238750457763672,13,Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Regent's Park,5.9255905949739756 km
dijkstra,Belsize Park,Regent's Park,0.0003609657287597656,31,Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Regent's Park,5.9255905949739756 km
bellman_ford,Belsize Park,Regent's Park,0.34290504455566406,576,Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Regent's Park,5.9255905949739756 km
spfa,Belsize Park,Regent's Park,0.00168609619140625,393,Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Regent's Park,5.9255905949739756 km
ucs,Belsize Park,Regent's Park,0.00036454200744628906,43,Belsize Park -> Chalk Farm -> Camden Town -> Euston -> Warren Street -> Oxford Circus -> Regent's Park,5.9255905949739756 km
astar,Kingsbury,Woodside Park,0.0008785724639892578,77,Kingsbury -> Wembley Park -> Finchley Road -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley -> Woodside Park,27.851994569553984 km
dijkstra,Kingsbury,Woodside Park,0.0022182464599609375,261,Kingsbury -> Wembley Park -> Finchley Road -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley -> Woodside Park,27.851994569553984 km
bellman_ford,Kingsbury,Woodside Park,0.3403759002685547,671,Kingsbury -> Wembley Park -> Finchley Road -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley -> Woodside Park,27.851994569553984 km
spfa,Kingsbury,Woodside Park,0.0018622875213623047,433,Kingsbury -> Wembley Park -> Finchley Road -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley -> Woodside Park,27.851994569553984 km
ucs,Kingsbury,Woodside Park,0.0022225379943847656,273,Kingsbury -> Wembley Park -> Finchley Road -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley -> Woodside Park,27.851994569553984 km
astar,Caledonian Road,Green Park,0.00018787384033203125,8,Caledonian Road -> King's Cross St. Pancras -> Euston -> Warren Street -> Oxford Circus -> Green Park,5.23200426326921 km
dijkstra,Caledonian Road,Green Park,0.0004401206970214844,40,Caledonian Road -> King's Cross St. Pancras -> Euston -> Warren Street -> Oxford Circus -> Green Park,5.23200426326921 km
bellman_ford,Caledonian Road,Green Park,0.33696985244750977,544,Caledonian Road -> King's Cross St. Pancras -> Euston -> Warren Street -> Oxford Circus -> Green Park,5.23200426326921 km
spfa,Caledonian Road,Green Park,0.001741647720336914,396,Caledonian Road -> King's Cross St. Pancras -> Euston -> Warren Street -> Oxford Circus -> Green Park,5.23200426326921 km
ucs,Caledonian Road,Green Park,0.0004544258117675781,54,Caledonian Road -> King's Cross St. Pancras -> Euston -> Warren Street -> Oxford Circus -> Green Park,5.23200426326921 km
astar,Swiss Cottage,West Finchley,0.0007328987121582031,60,Swiss Cottage -> St. John's Wood -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,17.0150562547679 km
dijkstra,Swiss Cottage,West Finchley,0.0020682811737060547,230,Swiss Cottage -> St. John's Wood -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,17.0150562547679 km
bellman_ford,Swiss Cottage,West Finchley,0.3451879024505615,678,Swiss Cottage -> St. John's Wood -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,17.0150562547679 km
spfa,Swiss Cottage,West Finchley,0.0018503665924072266,434,Swiss Cottage -> St. John's Wood -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,17.0150562547679 km
ucs,Swiss Cottage,West Finchley,0.0020210742950439453,246,Swiss Cottage -> St. John's Wood -> Baker Street -> Bond Street -> Oxford Circus -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,17.0150562547679 km
astar,Upney,Canning Town,0.00012111663818359375,7,Upney -> Barking -> East Ham -> Upton Park -> Plaistow -> West Ham -> Canning Town,8.412935685939843 km
dijkstra,Upney,Canning Town,0.0001533031463623047,13,Upney -> Barking -> East Ham -> Upton Park -> Plaistow -> West Ham -> Canning Town,8.412935685939843 km
bellman_ford,Upney,Canning Town,0.33596181869506836,496,Upney -> Barking -> East Ham -> Upton Park -> Plaistow -> West Ham -> Canning Town,8.412935685939843 km
spfa,Upney,Canning Town,0.0027985572814941406,658,Upney -> Barking -> East Ham -> Upton Park -> Plaistow -> West Ham -> Canning Town,8.412935685939843 km
ucs,Upney,Canning Town,0.00016260147094726562,15,Upney -> Barking -> East Ham -> Upton Park -> Plaistow -> West Ham -> Canning Town,8.412935685939843 km
astar,Kentish Town,Manor House,0.0002357959747314453,16,Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Caledonian Road -> Holloway Road -> Arsenal -> Finsbury Park -> Manor House,8.523672212309732 km
dijkstra,Kentish Town,Manor House,0.00110626220703125,90,Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Caledonian Road -> Holloway Road -> Arsenal -> Finsbury Park -> Manor House,8.523672212309732 km
bellman_ford,Kentish Town,Manor House,0.34566402435302734,576,Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Caledonian Road -> Holloway Road -> Arsenal -> Finsbury Park -> Manor House,8.523672212309732 km
spfa,Kentish Town,Manor House,0.0017156600952148438,393,Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Caledonian Road -> Holloway Road -> Arsenal -> Finsbury Park -> Manor House,8.523672212309732 km
ucs,Kentish Town,Manor House,0.0009016990661621094,107,Kentish Town -> Camden Town -> Euston -> King's Cross St. Pancras -> Caledonian Road -> Holloway Road -> Arsenal -> Finsbury Park -> Manor House,8.523672212309732 km
astar,East Acton,Fulham Broadway,0.0001647472381591797,9,East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway,7.563899789296184 km
dijkstra,East Acton,Fulham Broadway,0.0004086494445800781,38,East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway,7.563899789296184 km
bellman_ford,East Acton,Fulham Broadway,0.3451578617095947,546,East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway,7.563899789296184 km
spfa,East Acton,Fulham Broadway,0.0021119117736816406,484,East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway,7.563899789296184 km
ucs,East Acton,Fulham Broadway,0.00041294097900390625,52,East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> High Street Kensington -> Earl's Court -> West Brompton -> Fulham Broadway,7.563899789296184 km
astar,Old Street,Shoreditch,0.0001838207244873047,9,Old Street -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Shoreditch,3.6925096817975387 km
dijkstra,Old Street,Shoreditch,0.00031685829162597656,26,Old Street -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Shoreditch,3.6925096817975387 km
bellman_ford,Old Street,Shoreditch,0.3470890522003174,542,Old Street -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Shoreditch,3.6925096817975387 km
spfa,Old Street,Shoreditch,0.0017807483673095703,406,Old Street -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Shoreditch,3.6925096817975387 km
ucs,Old Street,Shoreditch,0.0003204345703125,42,Old Street -> Moorgate -> Liverpool Street -> Aldgate East -> Whitechapel -> Shoreditch,3.6925096817975387 km
astar,Hanger Lane,Royal Oak,0.00017881393432617188,11,Hanger Lane -> North Acton -> East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> Bayswater -> Paddington -> Royal Oak,10.368632902070392 km
dijkstra,Hanger Lane,Royal Oak,0.0003504753112792969,33,Hanger Lane -> North Acton -> East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> Bayswater -> Paddington -> Royal Oak,10.368632902070392 km
bellman_ford,Hanger Lane,Royal Oak,0.3416721820831299,555,Hanger Lane -> North Acton -> East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> Bayswater -> Paddington -> Royal Oak,10.368632902070392 km
spfa,Hanger Lane,Royal Oak,0.0020890235900878906,481,Hanger Lane -> North Acton -> East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> Bayswater -> Paddington -> Royal Oak,10.368632902070392 km
ucs,Hanger Lane,Royal Oak,0.0003559589385986328,47,Hanger Lane -> North Acton -> East Acton -> White City -> Shepherd's Bush (C) -> Holland Park -> Notting Hill Gate -> Bayswater -> Paddington -> Royal Oak,10.368632902070392 km
astar,Royal Victoria,Wapping,0.00020956993103027344,13,Royal Victoria -> Canning Town -> East India -> Blackwall -> Poplar -> West India Quay -> Canary Wharf -> Canada Water -> Rotherhithe -> Wapping,6.3341640151288745 km
dijkstra,Royal Victoria,Wapping,0.0006644725799560547,47,Royal Victoria -> Canning Town -> East India -> Blackwall -> Poplar -> West India Quay -> Canary Wharf -> Canada Water -> Rotherhithe -> Wapping,6.3341640151288745 km
bellman_ford,Royal Victoria,Wapping,0.3356339931488037,636,Royal Victoria -> Canning Town -> East India -> Blackwall -> Poplar -> West India Quay -> Canary Wharf -> Canada Water -> Rotherhithe -> Wapping,6.3341640151288745 km
spfa,Royal Victoria,Wapping,0.0027501583099365234,652,Royal Victoria -> Canning Town -> East India -> Blackwall -> Poplar -> West India Quay -> Canary Wharf -> Canada Water -> Rotherhithe -> Wapping,6.3341640151288745 km
ucs,Royal Victoria,Wapping,0.00046944618225097656,58,Royal Victoria -> Canning Town -> East India -> Blackwall -> Poplar -> West India Quay -> Canary Wharf -> Canada Water -> Rotherhithe -> Wapping,6.3341640151288745 km
astar,Arnos Grove,Kentish Town,0.0002434253692626953,16,Arnos Grove -> Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Euston -> Camden Town -> Kentish Town,14.302774945398163 km
dijkstra,Arnos Grove,Kentish Town,0.0005731582641601562,54,Arnos Grove -> Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Euston -> Camden Town -> Kentish Town,14.302774945398163 km
bellman_ford,Arnos Grove,Kentish Town,0.35589122772216797,872,Arnos Grove -> Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Euston -> Camden Town -> Kentish Town,14.302774945398163 km
spfa,Arnos Grove,Kentish Town,0.0029418468475341797,687,Arnos Grove -> Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Euston -> Camden Town -> Kentish Town,14.302774945398163 km
ucs,Arnos Grove,Kentish Town,0.0005638599395751953,68,Arnos Grove -> Bounds Green -> Wood Green -> Turnpike Lane -> Manor House -> Finsbury Park -> Arsenal -> Holloway Road -> Caledonian Road -> King's Cross St. Pancras -> Euston -> Camden Town -> Kentish Town,14.302774945398163 km
astar,Mudchute,West Silvertown,0.00022721290588378906,16,Mudchute -> Crossharbour & London Arena -> South Quay -> Heron Quays -> Canary Wharf -> West India Quay -> Poplar -> Blackwall -> East India -> Canning Town -> West Silvertown,5.9171390636663626 km
dijkstra,Mudchute,West Silvertown,0.0003643035888671875,35,Mudchute -> Crossharbour & London Arena -> South Quay -> Heron Quays -> Canary Wharf -> West India Quay -> Poplar -> Blackwall -> East India -> Canning Town -> West Silvertown,5.9171390636663626 km
bellman_ford,Mudchute,West Silvertown,0.3353271484375,624,Mudchute -> Crossharbour & London Arena -> South Quay -> Heron Quays -> Canary Wharf -> West India Quay -> Poplar -> Blackwall -> East India -> Canning Town -> West Silvertown,5.9171390636663626 km
spfa,Mudchute,West Silvertown,0.0019927024841308594,459,Mudchute -> Crossharbour & London Arena -> South Quay -> Heron Quays -> Canary Wharf -> West India Quay -> Poplar -> Blackwall -> East India -> Canning Town -> West Silvertown,5.9171390636663626 km
ucs,Mudchute,West Silvertown,0.00036454200744628906,45,Mudchute -> Crossharbour & London Arena -> South Quay -> Heron Quays -> Canary Wharf -> West India Quay -> Poplar -> Blackwall -> East India -> Canning Town -> West Silvertown,5.9171390636663626 km
astar,Goodge Street,Green Park,0.00011277198791503906,4,Goodge Street -> Tottenham Court Road -> Oxford Circus -> Green Park,2.185951877210581 km
dijkstra,Goodge Street,Green Park,0.00024056434631347656,17,Goodge Street -> Tottenham Court Road -> Oxford Circus -> Green Park,2.185951877210581 km
bellman_ford,Goodge Street,Green Park,0.3373992443084717,551,Goodge Street -> Tottenham Court Road -> Oxford Circus -> Green Park,2.185951877210581 km
spfa,Goodge Street,Green Park,0.001741170883178711,402,Goodge Street -> Tottenham Court Road -> Oxford Circus -> Green Park,2.185951877210581 km
ucs,Goodge Street,Green Park,0.00024700164794921875,29,Goodge Street -> Tottenham Court Road -> Oxford Circus -> Green Park,2.185951877210581 km
astar,Kennington,Limehouse,0.0001761913299560547,8,Kennington -> Elephant & Castle -> Borough -> London Bridge -> Bank -> Shadwell -> Limehouse,6.629683247662923 km
dijkstra,Kennington,Limehouse,0.0007734298706054688,78,Kennington -> Elephant & Castle -> Borough -> London Bridge -> Bank -> Shadwell -> Limehouse,6.629683247662923 km
bellman_ford,Kennington,Limehouse,0.3523218631744385,864,Kennington -> Elephant & Castle -> Borough -> London Bridge -> Bank -> Shadwell -> Limehouse,6.629683247662923 km
spfa,Kennington,Limehouse,0.002382993698120117,546,Kennington -> Elephant & Castle -> Borough -> London Bridge -> Bank -> Shadwell -> Limehouse,6.629683247662923 km
ucs,Kennington,Limehouse,0.0008029937744140625,94,Kennington -> Elephant & Castle -> Borough -> London Bridge -> Bank -> Shadwell -> Limehouse,6.629683247662923 km
astar,Whitechapel,North Greenwich,0.00019121170043945312,10,Whitechapel -> Shadwell -> Limehouse -> Westferry -> West India Quay -> Canary Wharf -> North Greenwich,5.547318220968578 km
dijkstra,Whitechapel,North Greenwich,0.0006861686706542969,68,Whitechapel -> Shadwell -> Limehouse -> Westferry -> West India Quay -> Canary Wharf -> North Greenwich,5.547318220968578 km
bellman_ford,Whitechapel,North Greenwich,0.34236812591552734,499,Whitechapel -> Shadwell -> Limehouse -> Westferry -> West India Quay -> Canary Wharf -> North Greenwich,5.547318220968578 km
spfa,Whitechapel,North Greenwich,0.001934051513671875,441,Whitechapel -> Shadwell -> Limehouse -> Westferry -> West India Quay -> Canary Wharf -> North Greenwich,5.547318220968578 km
ucs,Whitechapel,North Greenwich,0.0007081031799316406,84,Whitechapel -> Shadwell -> Limehouse -> Westferry -> West India Quay -> Canary Wharf -> North Greenwich,5.547318220968578 km
astar,Rotherhithe,Surrey Quays,8.797645568847656e-05,3,Rotherhithe -> Canada Water -> Surrey Quays,0.9193143375736591 km
dijkstra,Rotherhithe,Surrey Quays,8.702278137207031e-05,4,Rotherhithe -> Canada Water -> Surrey Quays,0.9193143375736591 km
bellman_ford,Rotherhithe,Surrey Quays,0.35912561416625977,742,Rotherhithe -> Canada Water -> Surrey Quays,0.9193143375736591 km
spfa,Rotherhithe,Surrey Quays,0.00244903564453125,585,Rotherhithe -> Canada Water -> Surrey Quays,0.9193143375736591 km
ucs,Rotherhithe,Surrey Quays,8.7738037109375e-05,6,Rotherhithe -> Canada Water -> Surrey Quays,0.9193143375736591 km
astar,Beckton Park,Upton Park,0.00017571449279785156,12,Beckton Park -> Royal Albert -> Prince Regent -> Custom House -> Royal Victoria -> Canning Town -> West Ham -> Plaistow -> Upton Park,7.167977008689459 km
dijkstra,Beckton Park,Upton Park,0.0003142356872558594,30,Beckton Park -> Royal Albert -> Prince Regent -> Custom House -> Royal Victoria -> Canning Town -> West Ham -> Plaistow -> Upton Park,7.167977008689459 km
bellman_ford,Beckton Park,Upton Park,0.3459475040435791,636,Beckton Park -> Royal Albert -> Prince Regent -> Custom House -> Royal Victoria -> Canning Town -> West Ham -> Plaistow -> Upton Park,7.167977008689459 km
spfa,Beckton Park,Upton Park,0.0019540786743164062,455,Beckton Park -> Royal Albert -> Prince Regent -> Custom House -> Royal Victoria -> Canning Town -> West Ham -> Plaistow -> Upton Park,7.167977008689459 km
ucs,Beckton Park,Upton Park,0.0003228187561035156,38,Beckton Park -> Royal Albert -> Prince Regent -> Custom House -> Royal Victoria -> Canning Town -> West Ham -> Plaistow -> Upton Park,7.167977008689459 km
astar,Heron Quays,Pimlico,0.0005738735198974609,43,Heron Quays -> Canary Wharf -> Canada Water -> Bermondsey -> London Bridge -> Southwark -> Waterloo -> Westminster -> St. James's Park -> Victoria -> Pimlico,10.384077251238839 km
dijkstra,Heron Quays,Pimlico,0.001054525375366211,116,Heron Quays -> Canary Wharf -> Canada Water -> Bermondsey -> London Bridge -> Southwark -> Waterloo -> Westminster -> St. James's Park -> Victoria -> Pimlico,10.384077251238839 km
bellman_ford,Heron Quays,Pimlico,0.3357274532318115,624,Heron Quays -> Canary Wharf -> Canada Water -> Bermondsey -> London Bridge -> Southwark -> Waterloo -> Westminster -> St. James's Park -> Victoria -> Pimlico,10.384077251238839 km
spfa,Heron Quays,Pimlico,0.001985311508178711,459,Heron Quays -> Canary Wharf -> Canada Water -> Bermondsey -> London Bridge -> Southwark -> Waterloo -> Westminster -> St. James's Park -> Victoria -> Pimlico,10.384077251238839 km
ucs,Heron Quays,Pimlico,0.0010807514190673828,129,Heron Quays -> Canary Wharf -> Canada Water -> Bermondsey -> London Bridge -> Southwark -> Waterloo -> Westminster -> St. James's Park -> Victoria -> Pimlico,10.384077251238839 km
astar,Charing Cross,West Finchley,0.0005779266357421875,42,Charing Cross -> Leicester Square -> Tottenham Court Road -> Goodge Street -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,13.65222710960603 km
dijkstra,Charing Cross,West Finchley,0.001865386962890625,213,Charing Cross -> Leicester Square -> Tottenham Court Road -> Goodge Street -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,13.65222710960603 km
bellman_ford,Charing Cross,West Finchley,0.34152674674987793,574,Charing Cross -> Leicester Square -> Tottenham Court Road -> Goodge Street -> Warren Street -> Euston -> Camden Town -> Kentish Town -> Tufnell Park -> Archway -> Highgate -> East Finchley -> Finchley Central -> West Finchley,13.65222710960603 km
